年度/Year,月份/Month,能源別/Energy Type,發電站名稱/Station Name,發電量(度)/Power Generation(kWh)
2024,05,太陽能/Solar,東興淨水場太陽光電/Dongxing Water Treatment Plant Solars,82356
2024,05,太陽能/Solar,后里E/S太陽光電/Houli E/S Solars,8116
2024,05,太陽能/Solar,中部儲運中心太陽光電/Central Storage and Transportation Center Solars,8648
2024,05,太陽能/Solar,東勢新伯公太陽光電/Dongshi Xinbogong Solars,78455
2024,05,太陽能/Solar,嘉義民雄太陽光電/Jiayi Minxiong Solars,3951
2024,05,太陽能/Solar,嘉義分所太陽光電/Chiayi Agricultural Experiment Branch Solars,22882
2024,05,太陽能/Solar,義竹工作站太陽光電/Yizhu Workstation Solars,37176
2024,05,太陽能/Solar,路北E/S太陽光電/Lubei E/S Solars,4259
2024,05,太陽能/Solar,蘭嶼電廠太陽光電/Lanyu Power Plant Solars,3291
2024,05,太陽能/Solar,蘭嶼貯存場太陽光電/Lanyu Storage Unit Solars,3808
2024,05,地熱/Geothermal,仁澤地熱/Renze Geothermal,238445
2024,06,陸域風力/Onshore Wind,石門風力/Shimen Wind Power,142862
2024,06,陸域風力/Onshore Wind,林口風力/Linkou Wind Power,348614
2024,06,陸域風力/Onshore Wind,蘆竹風力/Luzhu Wind Power,730819
2024,06,陸域風力/Onshore Wind,觀園風力/Guanyuan Wind Power,5489325
2024,06,陸域風力/Onshore Wind,大潭風力/Datan Wind Power,2314263
2024,06,陸域風力/Onshore Wind,新竹香山風力/Hsinchu Xiangshan Wind Power,1046015
2024,06,陸域風力/Onshore Wind,台中港區風力/Taichung Harbor Wind Power,2536572
